Regarding the supplementary UG and PG exams scheduled to conduct during September / October 2020 for which registration is already opened students can apply through the portal and pay the fee at College office upto 19.08.2020 Wednesday. Last date for Colleges to submit the request to University will be 21.08.2020 Friday. Since exam centre change provision needs to open for students immediately after supplementary registration submission there will not be any further extension in dates for the registration submission - both for students and Colleges.,1
" UG Students whose result of December 2019 exams published after normal publishing time can apply for answer book copy or/and revaluation as a special case. Such students should send an email request to """"support@ktu.edu.in"""" carrying the subject line: """"Request for Revaluation / Answer book copy"""".Following details are required in the mail:Student name Register number Exam name Course code and course name Request for: Revaluation or Answer book copy Contact number etc.Valid requests received from students will be considered and such students can register and pay fee through the student login. Please send the email requests on or before 19.08.2020 Wednesday",1
 The supplementary registration has been opened for the below mentioned exams upto 18/08/2020. The exam registration can be done from the college portal. Students can contact the college for the registration MBA T6 (RS)Exam May 2020 PT MBA T6 (RS)Exam May 2020 FT MBA T3 (RS)Exam May 2020 PTMBA T3 (RS)Exam May 2020 FTM.TECH S2(RS)Exam May 2020M.TECH S4(RS) (PT)Exam May 2020 MCA S4(RS) Exam May 2020 MCA S2(RS)Exam May 2020  MCA 2ND YR DIRECT S2(S) Exam May 2020  MCA INTEGRATED S6(RS)Exam May 2020 MCA INTEGRATED S4(RS)Exam May 2020MCA INTEGRATED S2(RS)Exam May 2020 M.ARCH S2(RS)Exam May 2020 M.PLAN S2(RS)Exam May 2020,0
 It is informed that Summer course registration to 2015 scheme B.Tech S1 S2 S3 and S4 semesters is opened and colleges can do necessary registration and mark entry for summer course attended students on or before 17.08.2020 Monday. Students having supplementary exams in 2015 scheme B.Tech S1 S2 and S3 will get a provision in student login to register for supplementary exams when the portal is opened for the summer course. Those who are awaiting revaluation results of Semesters 1 2 and 3 need not apply for supplementary exams now. Registration for supplementary exams will be opened later separately.,1
 University has opened supplementary registration to B.Tech S4 (S) Exam Sept 2020. It is observed that FE grade students who already did course registration in S4 is provided with a provision in portal to register for S4 supplementary Exam Sept 2020.It may be noted that such students need not register for this supplementary exam.It happened because the college has entered internal and attendance enough to get eligibility to apply for an exam. FE grade students already done course registration in S4 will acquire grade as per the rule formulated for computing grade for regular S4 students. They need not register for S4 supplementary exam. This supplementary registration is only for students who attended an S4 examination earlier at least once and failed. Regular S4 students (2018 admission) also need not register for S4 Spet 2020 supplementary exam even if provision for registration appears in student login.,1
 The Time Table Slot of Supplementary Examinations September 2020 (B.Tech - 2015scheme(including PTDC) /B.Arch/ BHMCT is published herewith.,1
 The Time Table Slots of M.Tech(including Part-Time)/M.Arch/M.Plan/MCA September 2020Examinations are published herewith.,0
 It is hereby informed that registration to following B.Tech B.Arch and BHMCT Supplementary exams will commence on 11.08.2020 Tuesday. Students are directed to register and pay the fee at the College office on or before 17.08.2020 Monday. Name of Examinations: B.Tech S7 (S) Exam Sept 2020 B.Tech S4 (S) Exam Sept 2020 B.Arch S6 (S) Exam Sept 2020 B.Arch S4 (S) Exam Sept 2020 B.Arch S2 (S) Exam Sept 2020 BHMCT S2 (S) Exam Sept 2020. Please download the attached notification for more details.,1
 It is hereby informed that registration to following M.Tech M.Arch M.Plan MBA  MCA MCASecond Year Direct MCA Integrated Supplementary exams will commence on 12.08.2020(Wednesday). Students are directed to register and pay the fee at College office on or before18.08.2020 (Tuesday).,0
 The projects have been shortlisted for first stage presentation which is scheduled from the 12th of this month.,0
 Please download the attached Notification,1
 Camp-wise revaluation pending status of B.Tech Degree December 2019 exams as on 07.08.2020 is available in the attached document.,1
 Please download the attached document Clarification - Final semester exam,1
 Registration for Young Innovators Programme under Kerala Development and Strategic Council (K-DISC) has been extended. Find the details below.,0
 Camp-wise revaluation pending status of B.Tech Degree December 2019 exams as on 04.08.2020 is available in the attached document.,0
 Please see the attachment,1
Final Semester Examination-Guidelines and Procedure,1
 - Academic - Conduct of Lower Semester Examinations- Guidelines and Procedure for Evaluationand Assessments,1
 The results of MBA T2(RS) Exam Feb 2020  (FT)  and  MBA T2(RS) Exam Feb 2020  (PT)    are published herewith. Candidates who desire to apply for a copy of the answer scripts can register through the portal from 04.08.2020 to  10.08.2020 (date applicable for both student and college) by remitting a fee of . Late requests for answer scripts will not be allowed.,0
 Please see the attached Notification for details,1
 The Young Innovator Programme (YIP) is a specifically designed flagship program under K-DISC that aims to empower future innovators to innovate new products services or solutions to meet the emerging era requirements of the state unarticulated needs or existing market needs of the society more effectively through an innovative challenge.YIP is open for students of any branch any semester any UG/PG.The details of the webinar are as follows:Title of the webinar:  Orientation Session on Young Innovator Programme 2020Date & Time: Saturday August 1 2020 at 11 AMSpeaker: Dr. P. V Unnikrishnan Strategic Advisor K-DISC linkedin.com/in/unnikrishnan-dr-potheri-vasudevan-b2763039How to register?https://tinyurl.com/kdiscktuE-Certificate to be issued by K-DISC subject to conditions*,0
 The detailed schedule for the conduct of M.TECH/M.ARCH/M.PLANNING/MCA - Project2020 is published herewith,0
" K-DISC's Young Innovators Program (YIP) is set to enter its third edition. The program aims to empower future innovators to innovate new products services or models to meet emerging requirements through an innovative challenge. Log on to https://yip.kerala.gov.in/ for details.""""""",0
 It is hereby notified that the results of BHMCT S1 (RS) Exam Dec 2019 and BHMCT S3 Exam Dec 2019 are published. The detailed results are available in the Student and College login.,0
" Title: """"Fellowship Opportunities for 2021 Pass outs at Teach For India""""Speaker:  Ms. Alia Omer National Fellowship Recruiter at Teach For India",0
