title,content,relevance
Rejury for B.Arch -Architectural Design/Basic Design-Reg,,0
"Detailed Time Table of B.Tech S3 Regular Examinations, December 2020 (2019 scheme) (including PTDC) - Notification - reg."," It is notified to the attention of all concerned that B.Tech S3 RegularDecember 2020 (2019 scheme) examination (including PTDC) is scheduled to commencefrom 15th April, 2021 onwards. The detailed time table which includes the time schedule ispublished herewith.
",1
"M. Tech S1 (R,S) Part-Time examination December 2020 - Conduct of the course 01ME6405- Work Systems Engineering (Slot D) of M. Tech S1(R,S) Part-Time (Mechanical Engineering branch with specialisation in Industrial Engineering) Notification - Reg:"," It is hereby notified to the attention of those concerned that the course 01ME6405- WorkSystemsbranchEngineering (Slot D) of M.Tech S1(R,S) Part-Time (Mechanical EngineeringwithspecialisationinIndustrialEngineering) Examination, December 2020is scheduled to be conducted on 22/04/2021, Thursday (9:30 am - 12:30 pm).
",1
Result published - PhD Even Semester Exams May 2020," This is to notify that the result of Ph.D Even Semester Examinations May 2020 (Trivandrum, Kottayam, Alappuzha & PTA, Ernakulam I and Palakkad Clusters) is published herewith. Details of the results are available in the student login
",1
Call for Judges - Women Faculty Members as Judges for Finastra IWD Hackathon,,0
Academic - Special chance to attend Oral part of B.Tech Comprehensive Examination - Students who have otherwise completed the programme except for failure in S6 Comprehensive Examination - Sanctioned - Orders issued.,,0
Additional list of 24 Massive Open Online Courses (MOOC) - Approved - Orders issued - Reg.,,0
Deletion of 2 -Massive Open Online Courses (MOOC)-From the approved list of B.Tech (Civil Engineering) MOOC list- Orders issued.,,0
"Examination centre change opened - MBA S1(R) Exam March 2021 (2020 Scheme) and MBA T5(R,S) Exam April 2021"," It is hereby notified that the students appearing for MBA S1 (R) Exam March 2021 (2020 scheme) and MBA T5 (R,S) Exam April 2021 can apply for change of exam centre through student login in KTU portal upto to 25.03.2021, Thursday.
",1
"APJAKTU - Academic - Nation wide blood donation drive on the 90th martyrdom day of Shaheed E-Azam Bhagath Singh, Rajguru and Sukhdev on 23/03/2021 - regarding.",,0
