date,title,link,content
Thu Apr 29,'Corrigendum I' for the EoI for KIIDC project',"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2FsqPe19mO%2FL2oVAHX5jCxz3FELCXT9nAzKry59N6oHU%3D&announcementId=JnRl3SGE4YFM1xScJxpHzlj4klNQ5aqDxv2GLjEGCz4%3D&fileName=Corrigendum-1(EOI).pdf&downloadType=XZQoQuenx%2B146yUC2jYSnJT74yUSkcfoFCgIsmbmpAs%3D', 'text': 'Details'}]",""
Thu Apr 29,"""KSCSTE- National Technology Day Celebration in association with KTU - Webinar series""","[{'url': 'https://tinyurl.com/technologydaycelebrations', 'text': 'Registration Link'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=jGV9JpgOhr2oyiiNXzy4VtsMKaBfzEm1CHVd5QgUoxs%3D&announcementId=UGeWa265dWbt19XMOiBKQ2MO7nLe69dHJcgkPdg0%2Bh0%3D&fileName=NTDposter_final.pdf&downloadType=bARgbOElbKHjr3gt1UlF6BrZi3fC6QT3R5VS2OdJerg%3D', 'text': 'Details'}]"," Kerala State Council for Science, Technology, and Environment in association with APJ Abdul Kalam Technological University organises TECH WEBINAR SERIES in connection with NATIONAL TECHNOLOGY DAY CELEBRATIONS -2021.  A 40 minutes talk and 20 minutes discussion on various topics by five eminent persons from industry and academics is organised on 11th, 12th, 14th 17th and 18th of May 2121.  All faculty members, research scholars and students of APJAKTU are requested to register using the link.  Further details on the program will be mailed to you.
                        				                        					
                            			 		
                            		 		"
Mon Apr 26,"Revaluation result published - B.Tech S1,S2 (S), S3 (S) and S6 (S) Sept 2020 examinations","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=FQXPga7s%2B8kT94oiAuNQXFD6lUKMqC81DK7cDIAV%2Fz8%3D&announcementId=zJhO4%2FM7HqD4DB0ky0khJvtV3DZhpEFwry2JoAbk62w%3D&fileName=Notif-RVB.TechS6SS3SS1,S2SS20.pdf&downloadType=JpvY44agrDpff3V7rONCdGMySPI2a%2BbSRDPHPyajQeQ%3D', 'text': 'Notification'}]"," It is hereby notified that the revaluation results of B.Tech S6 (S) Exam Sept 2020, B.Tech S3 (S) Exam Sept 2020 and  B.Tech S1,S2 (S) Exam Sept  2020 (2015 scheme) are published. The detailed results are available in Student and College login. Due to the current situation of Covid-19, the revaluation of some answer books are delayed beyond expected completion dates. About 80% of revaluation results are published herewith and the remainder will be available as soon as the revaluation is completed. Students will be notified of their revaluation result publication in their registered email ID. All revaluation results of these examinations will be published within one month."
Mon Apr 26,"""Colleges which have submitted EoI for KSITM Mapathon project being facilitated by KTU""","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=KAnFn6OX3jsZzzBGbmRDZBZCnZeul2veHJnFqis1IZM%3D&announcementId=ayfddDA5DJUhwPlqlb8m3eAf1lTgktDMeipz1qVzqHM%3D&fileName=EoI_Colleges_KSITM.pdf&downloadType=YfJkUr54g1g1yPI0OmhEbJOnjInPCqDVqq1Fvy%2FYNFo%3D', 'text': 'Details'}]",""
Mon Apr 26,Course extension granted to 2015 UG admission students,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=wiI7IR0CNlX2lnBDwQM02D6klwPMl7JdlJdaeEou6sg%3D&announcementId=YnSsfBpb27hB8zxUtc5ijsd%2F0uPCVu8rmH7ouXyjAqA%3D&fileName=CourseExtension-2015Admission-U.O.pdf&downloadType=PUod%2F2TvnpNS7tL8lluV9syo9iTXSAyzTTGJEMQcu0I%3D', 'text': 'Course extension granted to 2015 UG admission students'}]"," Course extension granted to 2015 UG admission students"
Mon Apr 26,Academic - Participation of Private Engineering Colleges in SDPK project requested by KSITL- Circular issued - Reg;,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=mB8rM%2FXC2eqCxwUpfLhZx3LL4WsveHJgBCguPCxXiNk%3D&announcementId=rRUTUsMTsekHh5KrQ4OJSgCVUEDNrghn4RnH%2FhvVHvA%3D&fileName=KTU-ASST(ACADEMIC)-3230-2020KSITICircular.pdf&downloadType=nyv%2FzYm5X98DKOfvCuGDn7F6QpNMhTGrUZQPtmeaYYA%3D', 'text': 'Circular'}]","                        			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        			
"
Mon Apr 26,Academic - Placement and Internship activities of ASAP Kerala - Intimated - Reg,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=X0TWfqh3BWhBPNuF9uSIKhQiZJ1gyDI5FvtImUk%2B8R4%3D&announcementId=WQTViTgq7DzI1V9a5DgP6ZoszA%2Fk1G8hM%2F2FlvPgRow%3D&fileName=KTU-ASST(ACADEMIC)-3230-2020ASAPCircular.pdf&downloadType=a%2B4ggto%2BZCUBszY9GltdKLT9nwyXqaPwteD%2F46RBFeg%3D', 'text': 'Circular'}]",""
Mon Apr 26,"""Project Walkthrough - KIIDC Project""","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=IKOV4Pyue%2FJ%2BB3tCTnKF%2BSnsuKo5EuoPyp76%2FspA3p8%3D&announcementId=U1sadIiFH0TukYhHqGjXngV%2FG4cMMI%2BGw2xDaoeyL1s%3D&fileName=ProjectWalkthrough_Details.pdf&downloadType=KqOFUQDUsDfeXCIOS09uk5pfUDxIyhI4gBWYxIAPeGY%3D', 'text': 'Details'}]",""
Mon Apr 26,"Result published - PhD Even Semester Exams May 2020 (KLM, KNR and THR clusters)","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=2W%2BQLK4iqh7n%2FKpE7Do6S%2FVEE2RTI1CZnUtld3zfcLg%3D&announcementId=4aRnrvKv9k5J1rE5qvz9ZA2LD5hDg28QfHJ0Fu0uFyc%3D&fileName=Notif-PhDresult-May2020-KLLM,THR,KNR.pdf&downloadType=j4AjU4IG0IUbinFQ5K4TrOe98z%2FQR58jsZj7uTP8exs%3D', 'text': 'Notification'}]"," This is to notify that the results of Ph.D Even Semester Examinations May 2020 (Kollam, Thrissur and Kannur Clusters) are published herewith. Details of the results are available in the student login."
Sat Apr 24,"The Academic Calendar for B.Tech S6, BHMCT S6, B.Arch S8, B.Arch S6, MCA S4, Integrated MCA S4/S6/S8","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=kysefvcvVue4EpXEJpmSExQHWWatgnYVOVtTDy0fQIw%3D&announcementId=jdIvHRdsgy8Qf5Rsa3aaI6ZmzNkz0HA5fJPZouddl7A%3D&fileName=KTU-DIRECTOR(ACADEMIC)-1063-2019(2).pdf&downloadType=E8qU6gg3w2iDFhqcejlKnk5RofkE%2FqXJYu5KxBg3JsM%3D', 'text': 'Notification'}]"," The Academic Calendar for B.Tech S6, BHMCT S6, B.Arch S8, B.Arch S6, MCA S4, Integrated MCAS4/S6/S8 is published herewith."
