Rejury for B.Arch -Architectural Design/Basic Design-Reg,0
" It is notified to the attention of all concerned that B.Tech S3 RegularDecember 2020 (2019 scheme) examination (including PTDC) is scheduled to commencefrom 15th April, 2021 onwards. The detailed time table which includes the time schedule ispublished herewith.
",1
" It is hereby notified to the attention of those concerned that the course 01ME6405- WorkSystemsbranchEngineering (Slot D) of M.Tech S1(R,S) Part-Time (Mechanical EngineeringwithspecialisationinIndustrialEngineering) Examination, December 2020is scheduled to be conducted on 22/04/2021, Thursday (9:30 am - 12:30 pm).
",0
" This is to notify that the result of Ph.D Even Semester Examinations May 2020 (Trivandrum, Kottayam, Alappuzha & PTA, Ernakulam I and Palakkad Clusters) is published herewith. Details of the results are available in the student login
",0
Call for Judges - Women Faculty Members as Judges for Finastra IWD Hackathon,0
Academic - Special chance to attend Oral part of B.Tech Comprehensive Examination - Students who have otherwise completed the programme except for failure in S6 Comprehensive Examination - Sanctioned - Orders issued.,1
Additional list of 24 Massive Open Online Courses (MOOC) - Approved - Orders issued - Reg.,1
Deletion of 2 -Massive Open Online Courses (MOOC)-From the approved list of B.Tech (Civil Engineering) MOOC list- Orders issued.,1
" It is hereby notified that the students appearing for MBA S1 (R) Exam March 2021 (2020 scheme) and MBA T5 (R,S) Exam April 2021 can apply for change of exam centre through student login in KTU portal upto to 25.03.2021, Thursday.
",0
"APJAKTU - Academic - Nation wide blood donation drive on the 90th martyrdom day of Shaheed E-Azam Bhagath Singh, Rajguru and Sukhdev on 23/03/2021 - regarding.",0
" Postponement of B.Tech S3 (Regular including PTDC) (2019 scheme) December 2020 examinations scheduled to commence from 24.03.2021 onwards - Notification
Postponement of B.Tech S3 (Regular including PTDC) (2019 scheme)
",1
" It is hereby notified that the result of MCA Integrated S6 (R) Exam May 2020 is published. The detailed results are available under 'Results' tab of the University website and College login.
",0
" Please download attached notification regarding revised maximum mark and exam duration
",1
" The detailed Time Table of B.Tech S6 (Honours) June 2020 examination, scheduled on23rd March 2021, Tuesday, (9.30am - 12.30pm) is published herewith.
",1
" It is hereby informed that the supplementary registration to M.Tech S1 (R,S) (FT & PT) Exams Dec 2020 is opened. Students are directed to register and pay the fee at their College offices on or before 23.03.2021, Tuesday. Request submission by Colleges to University through portal: on or before 24.03.2021, Wednesday.
",0
" The results of M.Tech S2(R) Exam May 2020 Kannur, Ernakulam II, Alappuzha & PTA Clusters are published. The detailed results are available under 'Results' tab of the University website and college login.
",0
Session on  Simulation of Autonomous Robotic Systems,0
"it is hereby informed that the supplementary registration to MBA T5 (R,S) (FT & PT) Exams April 2021 is opened. Students are directed to register and pay the fee at their College offices on or before 19.03.2021, Friday. Request submission by Colleges to University through portal: on or before 20.03.2021, Saturday.
",0
" The revised detailed Time Table of MBA S1 Regular (2020 scheme) Examinations March 2021(including Part-Time) is published herewith.
",0
" Date for applying for centre change of B.Tech S3 (R) Exam Dec 2020 is extended up to 17.03.2021, Wednesday (Today) evening.
",1
Academic - Non Credit courses of B.Tech Programme - Conduct of Examinations - Clarifications - Orders issued - Reg,1
" The schedule of even semester classes for Academic Year 2020-21 is published herewith.
",1
"Time schedule of B.Tech (2015 scheme) S3 (S,FE) Examinations (including PTDC) December 2020 - Notification - reg.",1
" APJ Abdul Kalam Technological University, Kerala invites applications from eligiblecandidates for Ph.D. admission in colleges affiliated to the University. Application must besubmitted online as specified in the website (app.ktu.edu.in). Last date for submission ofapplication is 31.03.2021. Further details regarding the notification and the Syllabus forPh.D. Entrance Examination 2020-21, are attached herewith.
",0
APJ Abdul Kalam Technological University-Schedule for Readmission 2020- 21 Even semesters- Orders issued,1
" It is hereby notified that students appearing for B.Tech S3 (R) Exam Dec 2020 (2019 scheme) can apply for change of exam centre through student login in KTU portal up to 16.03.2021, Tuesday. Download the Notification for more details. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",1
" It is hereby informed that result of M.Tech S2 (R) Exam May 2020 (Kottayam cluster) is published. See notification for more details
",0
" It is hereby notified that the result of B.Arch S6 Exam May 2020 is published. Please download the Notification for more details.
",0
"The Academic Calendar for all Final semesters UG and PG Programmes (B.Tech S8, B.Arch S10, M.Arch S4, M. Plan S4, M.Tech S4, MBA T6, MCA S6, Int MCA S10) is published herewith.",1
" It is hereby notified that students appearing for B.Tech S6 (Hons.) Exam June 2020 (Academic Year: 2019-20) can apply for change of exam centre through student login in KTU portal up to 15.03.2021, Monday. Download the Notification for more details. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",1
" It  is hereby  informed  that  registration  to B.Tech S1 (PT) (S,FE) Exam Dec 2020 is  opened.  Students  are  directed  to  register  and  pay  the  fee  at  their College offices on or before 13.03.2021, Saturday. Request submission by Colleges to University through portal: on or before 15.03.2021, Monday
",1
" It is hereby notified that the result of B.Tech S1 (S) (PT) Sept 2020 Examination is published. Download the notification for more details
",1
APJAKTU- Plan to complete academic requirements of Final semester students (UG/PG),1
"Shortlisted student details for the interview
",0
" The result of MCA Integrated S4 (R) Exam May 2020 is published. Thedetailed results are available under 'Results' tab of the University website and College login.
",0
" It is informed that only the students having LET rank published by CEE, Kerala canbe admitted in LET category. Therefore, only the students having LET rank will be permitted toregister in the University portal.
",1
Academic -Regulations for B.Tech (Evening) 2020 - B.Tech(2019 - Full Time) Regulations made applicable - Orders issued.,1
" I t is hereby notified to the attention of those concerned that the slot P - Research and Publication Ethics (PhD only)scheduled to be conducted on 09.04.2021 has been postponed to 28.04.2021, Wednesday, ( 9.30 AM to 12.30 PM.)
",0
" The detailed Time Table of MBA T5 (R,S) (including Part-Time) and T8(R) Part-TimeExaminations April 2021 is published herewith.
",0
Additional list of 97 Massive Open Online Courses (MOOC) - Approved - Orders issued - Reg,1
" The result of MCA S4 (R) Exam May 2020 is published. The detailed resultsare available under 'Results' tab of the University website and College login.
",0
" ""Ujjaini"" is a virtual startup ideation and incubation program exclusively for Women faculty members of KTU colleges.The inauguration of the program is scheduled for Monday, March 8, 2021 at 3 PM IST by our Hon. VC. Other speakers for the session are :1. Dr. P.V Unnikrishnan, Strategic Advisor K-DISC2. Mr. Tapan Rayaguru, CEO Kerala Startup Mission3. Dr. Chandra Vadhana, CEO PrayaanaMeeting ID: 885 1642 0861Passcode: 351890
",0
Provision to apply for UG and PG Official Transcript through e- portal - reg,0
" The detailed Time Table of MBA S1 Regular (2020 scheme) Examinations March 2021(including Part-Time) is published herewith.
",0
" The result of MCA (INT) S2 (S) Exam Sept 2020 is published herewith. The detailed results are available in student and college login.
",0
Revised time table slots of odd semester UG and PG exams December 2020 - Notification - reg:,1
"Last date to submit abstract for the CSI-InApp Project Awards,  in which APJ Abdul Kalam Technological University is associating as the Academic partner, has been extended to April 10, 2021.",0
